File_DB,Language,Corpus,Code,Age(Month),Sex,Group,Race,SES,Role,Education,Custom_field,Design,Activity,Group...7,Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,MLU50_Utts,MLU50_Words,MLU50_Morphemes,FREQ_types,FREQ_tokens,NDW_100,VOCD_D_optimum_average,Verbs_Utt,Word_Errors,Utt_Errors,retracing,repetition,DSS_Utts,DSS,IPSyn_Utts,IPSyn_Total,mor_Words,*-PRESP,in,on,*-PL,*-POSS,u-cop,det:art,*-PAST,*-3S,irr-3S,u-aux,c-cop,c-aux,Total_non_zero_mors,#_participants
Mean,eng,SALT_Convo,.,2;9-3;5,.,TD,.,.,.,.,.,.,Conversation,.,114.5,104.5,3.29,3.59,.,.,.,122.5,338.69,.,.,0.57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16
Min,eng,SALT_Convo,.,2;9-3;5,.,TD,.,.,.,.,.,.,Conversation,.,48,44,2.27,2.49,.,.,.,62,137,.,.,0.24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16
Max,eng,SALT_Convo,.,2;9-3;5,.,TD,.,.,.,.,.,.,Conversation,.,235,220,4.74,5.23,.,.,.,220,719,.,.,0.94,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16
SD,eng,SALT_Convo,.,2;9-3;5,.,TD,.,.,.,.,.,.,Conversation,.,60.96,56.59,0.69,0.8,.,.,.,46.02,182.51,.,.,0.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16
Mean,eng,SALT_Convo,.,3;9-4;0,.,TD,.,.,.,.,.,.,Conversation,.,118.45,111.27,3.58,3.93,.,.,.,149.91,397.82,.,.,0.62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11
Min,eng,SALT_Convo,.,3;9-4;0,.,TD,.,.,.,.,.,.,Conversation,.,71,64,2.78,3.02,.,.,.,99,197,.,.,0.45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11
Max,eng,SALT_Convo,.,3;9-4;0,.,TD,.,.,.,.,.,.,Conversation,.,183,179,5.18,5.82,.,.,.,231,565,.,.,0.93,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11
SD,eng,SALT_Convo,.,3;9-4;0,.,TD,.,.,.,.,.,.,Conversation,.,26.55,28.26,0.77,0.87,.,.,.,37.05,119.49,.,.,0.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11
Mean,eng,SALT_Convo,.,4;0-4;4,.,TD,.,.,.,.,.,.,Conversation,.,113.29,108.36,4.11,4.51,.,.,.,157.71,436.71,.,.,0.75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14
Min,eng,SALT_Convo,.,4;0-4;4,.,TD,.,.,.,.,.,.,Conversation,.,61,56,2.74,3.03,.,.,.,94,252,.,.,0.48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14
